PTEL34,PORT ELLIOT C F S
PTGM34,PORT GERMEIN C F S
PTKN24,PORT KENNY C F S
PTL20,PORT LINCOLN S E S
PTL29,PORT LINCOLN S E S
PTMD34,PORT MACDONNELL C F S
PTMDQRV,PORT MACDONNELL C F S
PTNL34,PORT NEILL C F S
PTP20,PORT PIRIE S E S
PTP29,PORT PIRIE S E S
PTVC34,PORT VICTORIA C F S
PTVCQRV,PORT VICTORIA C F S
PTVN24,PORT VINCENT C F S
PTWK19,PORT WAKEFIELD C F S
PTWK28,PORT WAKEFIELD C F S
QRN20,QUORN S E S
QRN29,QUORN S E S
QURN14,QUORN AND DISTRICTS C F S
QURN34P,QUORN AND DISTRICTS C F S
RAPD24,RAPID BAY AND DISTRICTS C F S
RAPD34,RAPID BAY AND DISTRICTS C F S
RBTN24,ROBERTSTOWN C F S
REDH24,REDHILL C F S
REED34,REEDY CREEK C F S
REN20,RENMARK S E S
REN29,RENMARK S E S
REN6114,RENMARK M F S
REN6142,RENMARK M F S
REN618,RENMARK M F S
REND34,RENDELSHAM C F S
RHYN24,RHYNIE C F S
RHYN42,RHYNIE C F S
RIDG36,CAMBRAI C F S
RIDGC1,CAMBRAI C F S
RIVN19,RIVERTON C F S
RIVN22,RIVERTON C F S
RNGE24,RANGE HOPE / FOREST C F S
RNGE34,RANGE HOPE / FOREST C F S
ROBE19,ROBE TOWN C F S
ROBE28,ROBE TOWN C F S
ROBG36,ROBE TOWN C F S
ROBGC1,ROBE TOWN C F S
ROSE24P,ROSEWORTHY C F S
ROSE34P,ROSEWORTHY C F S
